Tabla 1
 Inventario de Productos,,,,,,,,,
Campos OBLIGATORIOS,,,,, Campos OPCIONALES,,,,
nombre,marca,categoria,precio_base,activo,variante_nombre,sku *,codigo_barras,Existencia,precio_variante
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Arriesgada ,LAB-MAC-R01,7501234560001,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Amor ,LAB-MAC-N02,7501234560002,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Abigail,LAB-MAC-C03,7501234560003,5,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Colorido,SER-TO-30,7509876540001,5,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Agua ,SER-TO-60,7509876540002,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Azul ,BAS-NYX-B01,7502222220001,4,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Acuario,BAS-NYX-C05,7502222220002,4,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Analítica ,SHA-LOR-400,7506666660001,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Aceituna,PAL-UD-N12,7508888880001,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Amar real ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Azucena ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Amable ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Bendicion,,,6,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Bella ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Cerezo,,,4,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Creativa,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Canela ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Camel,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Corazón,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Ceremonia ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Cielo,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Coraje,,,5,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Celestial,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Bomba sexy ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Brilli brilli ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Bella lluvia ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Brillante ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Boreal,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Carmesí ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Calmenta ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Duquesa,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Doncella ,,,5,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Dama,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Fabulosa,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Dragón ,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Experta ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Fuerza,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Famosa ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Fénix,,,5,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Flor,,,5,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Flor de loto,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Ola,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Oro,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Pacífica ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Orquídea,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Lolita,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Lujosa ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Luz,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Lluvia,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Luminosa ,,,7,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Mística ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Misterio,,,5,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Majestuosa,,,4,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Marrón ,,,4,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Magnífica ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Melocotón,,,4,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Koko,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Justa,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Grandeza,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Gretel,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Genuino,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Fe,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Fresquita ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Paz,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Púrpura ,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Pureza,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Profunda,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Plata,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Sensata,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Rescata,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Salvaje,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Rayo de luz,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Sally,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Saliendo ,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Sencilla,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Sensitiva,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Sociable ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Tormenta,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Torbelino ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Valiente ,,,3,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Valiosa,,,1,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Vistuosa ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Sellant mágic ,,,2,
Esmalte Gel,Maxybelt,Manicure y Uñas,"9,000",SI,Esmalte para uña brillo S,,,19,
